subject,sender,time,attachments,
"Interesting Job Opportunity Bobble.Ai - Senior Data Analyst -
 SQL/Python (3-6 yrs)","""hirist.com"" <info@hirist.com>","Thu, 26 Oct 2023 12:18:09 +0000",,
Urgent Openings for Bench Sales Resource,Vamshi <Vamshi@stratitude.com>,"Thu, 26 Oct 2023 12:52:56 +0000","SBase 1page flyer.jpg
SBASE - JD - Bench Sales.pdf
",
Urgent Openings for Bench Sales Resource,Vamshi <Vamshi@stratitude.com>,"Thu, 26 Oct 2023 13:00:29 +0000",,
Stand-out with In-Demand Skills in Tech,Naukri <info@naukri.com>,"Thu, 26 Oct 2023 18:43:32 +0530 (IST)","
",
"HR Recruiter ( Female Candidate ) at Uniforce Facilities and 9 more
 jobs in Pune for you. Apply Now.",Glassdoor Jobs <noreply@glassdoor.com>,"Thu, 26 Oct 2023 13:45:56 +0000 (UTC)",,
Why Bother with Employer Branding?,Schbang via LinkedIn <newsletters-noreply@linkedin.com>,"Thu, 26 Oct 2023 13:51:55 +0000 (UTC)",,
"Walk-in | Walk In Interviews from 30th oct,2023 - 8th Nov,2023",Data Marshall Private Limited    <careersZGF0YW1hcnNoYWxsLmNvbQ==@naukri.com>,"Thu, 26 Oct 2023 19:23:22 +0530 (IST)","
",
b'Good Won Over Evil!\xf0\x9f\x91\xba\xf0\x9f\x92\xa5\xf0\x9f\x94\xa5\xe2\x9c\xa8',"""cultsport.com"" <marketing@cultsport.com>","Thu, 26 Oct 2023 14:08:59 +0000",,
b'Sizzling Hot Deals! SPF 50 recommended \xf0\x9f\x98\x8d',Kotak Cards <retailproducts@mail.kotak.in>,"Thu, 26 Oct 2023 19:40:37 +0530",,
b'You\xe2\x80\x99re About To SAVE Big \xe2\x9a\xa0\xef\xb8\x8f',Myntra <updates@myntra.com>,"Thu, 26 Oct 2023 19:56:59 +0530",,
b'Celebrate with cashback \xf0\x9f\x95\xba\xf0\x9f\x8f\xbb',"""IndiGo"" <mailers@marketing.goindigo.in>","Thu, 26 Oct 2023 19:44:37 +0530",,
"b' \xf0\x9f\x94\x94 Rohan, check out jobs applied by other Talent Acquisition Consultant '",Naukri Alerts <naukrialerts@naukri.com>,"Thu, 26 Oct 2023 20:46:02 +0530 (IST)","

",
b'10% off on Flipkart\xf0\x9f\x9b\x8d\xef\xb8\x8f Big Dussehra Sale',Kotak Credit Card <retailproducts@kotak.in>,"Thu, 26 Oct 2023 14:03:13 +0000 (UTC)",,
"What Tech Pros are Saying About Pay, Work-Life Balance","""Dice"" <dice@connect.dice.com>","Thu, 26 Oct 2023 15:41:46 +0000",,
"Rohan, see who else is applying for Sourcer",LinkedIn,"Thu, 26 Oct 2023 08:58:46 -0700",,
b'What is the truth behind Sadhguru?',Quora Suggested Spaces <thesadhguruspace-space@quora.com>,"Thu, 26 Oct 2023 16:58:26 +0000",,
b'Here\xe2\x80\x99s a Vodafone job match for you',vodafonepr-jobnotification@noreply12.jobs2web.com,"Thu, 26 Oct 2023 17:53:45 +0000",,
You've lost access to Meta business tools,"""Instagram"" <no-reply@mail.instagram.com>","Thu, 26 Oct 2023 11:20:48 -0700",,
Unlock the potential of Dyslexic Thinking,LinkedIn via LinkedIn <newsletters-noreply@linkedin.com>,"Thu, 26 Oct 2023 18:51:17 +0000 (UTC)",,
"CS#231: The truth about burnout (and how to avoid career disaster) (+
 more)","""Career Supplement (by Resume Worded)"" <team@cs.resumeworded.com>","Thu, 26 Oct 2023 19:27:15 +0000 (UTC)",,
New jobs posted from careers.vestas.com,vestaswind-jobs@noreply12.jobs2web.com,"Fri, 27 Oct 2023 00:07:31 +0000",,
b'Do hotel maids ever sleep with a person staying at the hotel?',Quora Digest <english-personalized-digest@quora.com>,"Fri, 27 Oct 2023 00:48:03 +0000",,
New jobs posted from careers-inc.nttdata.com,nttdata-jobnotification@noreply.jobs2web.com,"Fri, 27 Oct 2023 01:41:27 +0000",,
"10+ Matching Jobs from Top IT/Tech Companies based on your
 preferences","""hirist.com"" <info@hirist.com>","Fri, 27 Oct 2023 03:03:57 +0000",,
New Data Analyst Jobs Posted. Apply First!,"""Talent.com"" <no-reply@alerts.talent.com>","Fri, 27 Oct 2023 00:12:29 -0400",,
It's FriYAY!!! And we have got your weekend groceries sorted,Kotak Bank <retailproducts@kotak.in>,"Fri, 27 Oct 2023 04:20:56 +0000 (UTC)",,
Germany Awaits: Begin Your Migration Adventure,Y Axis <info@em.goconnectmail.com>,"Fri, 27 Oct 2023 06:29:59 +0200 (CEST)",,
How does airline pricing work?,Skyscanner <no-reply@sender.skyscanner.com>,"Fri, 27 Oct 2023 04:34:04 +0000 (UTC)",,
b'\xe2\x80\x9ctalent acquisition specialist\xe2\x80\x9d: Techolution - Associate Talent Acquisition Specialist - Remote Work  and more',LinkedIn Job Alerts <jobalerts-noreply@linkedin.com>,"Fri, 27 Oct 2023 04:47:46 +0000 (UTC)",,
"b'\xe2\x80\x9ctalent acquisition specialist\xe2\x80\x9d: Aezion, Inc - Senior Talent Acquisition Specialist and more'",LinkedIn Job Alerts <jobalerts-noreply@linkedin.com>,"Fri, 27 Oct 2023 04:47:46 +0000 (UTC)",,
b'Exclusive Yes Bank Offer For You!! \xf0\x9f\xa4\x91',AbhiBus <alert@mailer.abhibus.com>,"Fri, 27 Oct 2023 10:51:47 +0530",,
Job | Job Opening || HR Recruiter || Gurgaon,"""Shapers Talent Hire Services Pvt. Ltd.   "" <vijitac2hhcGVyc2NvbnN1bHRhbnQuY29t@naukri.com>","Fri, 27 Oct 2023 11:04:34 +0530 (IST)","
",
Java Developer for Product based MNC,Chakshu Bhatt <chakshu.bhatt@varite.com>,"Fri, 27 Oct 2023 01:37:23 -0400",,
Get Noticed by Employers: Update your Cuvette profile ,Cuvette Tech <team@cuvette.tech>,"Fri, 27 Oct 2023 06:01:39 +0000",,
Does your mute button work?,Rapido Bike Taxi <hello@updates.rapido.bike>,"Fri, 27 Oct 2023 03:32:36 +0000 (UTC)",,
b'Yamraj is in deep trouble\xf0\x9f\x98\xb1 Help him\xf0\x9f\x98\x93',"""cult.fit"" <marketing@cult.fit>","Fri, 27 Oct 2023 06:40:08 +0000",,
"Check out these trending jobs for Recruitment Executive in
 Hyderabad / Secunderabad, Telangana",foundit - Monster Jobs <jobmessenger@monsterindia.com>,"Fri, 27 Oct 2023 12:17:49 +0530 (IST)",,
KSA This Week,TASC Outsourcing via LinkedIn <newsletters-noreply@linkedin.com>,"Fri, 27 Oct 2023 06:51:10 +0000 (UTC)",,
"Recruiter asked salary expectations shortly after my initial
 screening & said 58...",Glassdoor Community <noreply@glassdoor.com>,"Fri, 27 Oct 2023 06:56:16 +0000 (UTC)",,
A Fresh Profile for Fresh Opportunities: Update Now,"""Neha from foundit"" <info@alerts.foundit.in>","Fri, 27 Oct 2023 07:24:40 +0000",,
b'50-80% Off Is A BIG DEAL \xf0\x9f\x92\xa5',Myntra <updates@myntra.com>,"Fri, 27 Oct 2023 12:57:20 +0530",,
Job Opportunity with Coforge Solutions: IT recruiter/coordinator : Mumbai,Nidhi Thakur <Nidhi.Thakur@coforgesolutions.com>,"Fri, 27 Oct 2023 13:05:57 +0530",,
"Rohan Dapurkar, You are invited to be a part of this Super30 batch",Nimrit Sinha <nimrit@naukrilegion.com>,"Fri, 27 Oct 2023 08:21:17 +0000",,
Sourcer/Recruiter role at Randstad Sourceright: 2 connections,LinkedIn <jobs-listings@linkedin.com>,"Fri, 27 Oct 2023 08:30:35 +0000 (UTC)",,
"Urgent opening | Real estate Relationship Manager | CTC 3,00,000 to
 6,00,000  Indian Rupees at Wehyre India (Source: foundit)","Wehyre Corporate Consulting Private Limited
 <opportunities@monsterindia.com>","Fri, 27 Oct 2023 08:45:36 +0000 (GMT)",,
"Re: Job Opportunity with Coforge Solutions: IT recruiter/coordinator
 : Mumbai",Nidhi Thakur <Nidhi.Thakur@coforgesolutions.com>,"Fri, 27 Oct 2023 15:42:01 +0530",,
"FREE 1:1 Reviews from Amazon, Bain, HUL, TAS, L&T experts | Book Now!",Unstop Mentorships <noreply@dare2compete.news>,"Fri, 27 Oct 2023 10:25:35 +0000",,
b'Exclusive Event Invite: LIVE Masterclass on Full Stack Web Development \xf0\x9f\x91\xa8\xf0\x9f\x8f\xbb\xe2\x80\x8d\xf0\x9f\x92\xbb',"""Coding Blocks"" <alert@codingblocks.com>","Fri, 27 Oct 2023 10:28:57 +0000",,
Gen AI-Powered Data Science Excellence Awaits You,Expertrons <info@em.goconnectmail.com>,"Fri, 27 Oct 2023 13:21:50 +0200 (CEST)",,
Top Matching Jobs from Leading IT/Tech Companies,"""hirist.com"" <info@hirist.com>","Fri, 27 Oct 2023 11:30:40 +0000",,
"b'Rohan, new opportunities in GEMA Education Technology, Idea Usher & more'",Internshala <student@internshala.com>,"Fri, 27 Oct 2023 11:41:03 +0000",,
b'Python + SQL Challenge Intensifies ',Skillyst by foundit <info@alerts.foundit.in>,"Fri, 27 Oct 2023 12:00:32 +0000 (UTC)",,
b'Are YOU Ready to Make a Sustainable Global Impact?',FutureSkills Prime <do-not-reply@mails.futureskillsprime.in>,"Fri, 27 Oct 2023 12:09:04 +0000 (UTC)",,
The all-new Hyundai Verna is here! Explore the amazing offers.,Kotak Loans <retailproducts@kotak.in>,"Fri, 27 Oct 2023 11:21:40 +0000 (UTC)",,
"Interesting Job Opportunity Capgemini - Data Analyst - Apache
 Superset (5-10 yrs)","""hirist.com"" <info@hirist.com>","Fri, 27 Oct 2023 12:20:28 +0000",,
Save up to 74% off + celebrate 31 years of ThinkPad!,Lenovo US <lenovo@ecomm.lenovo.com>,"Fri, 27 Oct 2023 13:28:28 +0000 (UTC)",,
"b'Hey Rohan, Book your train to Yesvantpur Jn\xf0\x9f\x9a\x82'",ixigo <info@ixigo.com>,"Fri, 27 Oct 2023 13:30:28 +0000",,
"
 Rohan Dapurkar, Urgent Requirement for the role of Talent
 Acquisition Specialist, Hr Recruiter, Corporate Recruiter",Naukri Alerts <naukrialerts@naukri.com>,"Fri, 27 Oct 2023 19:08:17 +0530 (IST)","


",
"Talent Acquisition Specialist at asc and 13 more jobs in Pune for
 you. Apply Now.",Glassdoor Jobs <noreply@glassdoor.com>,"Fri, 27 Oct 2023 13:51:08 +0000 (UTC)",,
,,,,
